-50 
-49,8 
-49,599 
-49,399 
-49,198 
-48,998 
-48,798 
-48,597 
-48,397 
-48,196 
-47,996 
-47,796 
-47,595 
-47,395 
-47,194 
-46,994 
-46,794 
-46,593 
-46,393 
-46,192 
-45,992 
-45,792 
-45,591 
-45,391 
-45,19 
-44,99 
-44,79 
-44,589 
-44,389 
-44,188 
-43,988 
-43,788 
-43,587 
-43,387 
-43,186 
-42,986 
-42,786 
-42,585 
-42,385 
-42,184 
-41,984 
-41,784 
-41,583 
-41,383 
-41,182 
-40,982 
-40,782 
-40,581 
-40,381 
-40,18 
-39,98 
-39,78 
-39,579 
-39,379 
-39,178 
-38,978 
-38,778 
-38,577 
-38,377 
-38,176 
-37,976 
-37,776 
-37,575 
-37,375 
-37,174 
-36,974 
-36,774 
-36,573 
-36,373 
-36,172 
-35,972 
-35,772 
-35,571 
-35,371 
-35,17 
-34,97 
-34,77 
-34,569 
-34,369 
-34,168 
-33,968 
-33,768 
-33,567 
-33,367 
-33,166 
-32,966 
-32,766 
-32,565 
-32,365 
-32,164 
-31,964 
-31,764 
-31,563 
-31,363 
-31,162 
-30,962 
-30,762 
-30,561 
-30,361 
-30,16 
-29,96 
-29,76 
-29,559 
-29,359 
-29,158 
-28,958 
-28,758 
-28,557 
-28,357 
-28,156 
-27,956 
-27,756 
-27,555 
-27,355 
-27,154 
-26,954 
-26,754 
-26,553 
-26,353 
-26,152 
-25,952 
-25,752 
-25,551 
-25,351 
-25,15 
-24,95 
-24,749 
-24,549 
-24,349 
-24,148 
-23,948 
-23,747 
-23,547 
-23,347 
-23,146 
-22,946 
-22,745 
-22,545 
-22,345 
-22,144 
-21,944 
-21,743 
-21,543 
-21,343 
-21,142 
-20,942 
-20,741 
-20,541 
-20,341 
-20,14 
-19,94 
-19,739 
-19,539 
-19,339 
-19,138 
-18,938 
-18,737 
-18,537 
-18,337 
-18,136 
-17,936 
-17,735 
-17,535 
-17,335 
-17,134 
-16,934 
-16,733 
-16,533 
-16,333 
-16,132 
-15,932 
-15,731 
-15,531 
-15,331 
-15,13 
-14,93 
-14,729 
-14,529 
-14,329 
-14,128 
-13,928 
-13,727 
-13,527 
-13,327 
-13,126 
-12,926 
-12,725 
-12,525 
-12,325 
-12,124 
-11,924 
-11,723 
-11,523 
-11,323 
-11,122 
-10,922 
-10,721 
-10,521 
-10,321 
-10,12 
-9,9198 
-9,7194 
-9,519 
-9,3186 
-9,1182 
-8,9178 
-8,7174 
-8,517 
-8,3166 
-8,1162 
-7,9158 
-7,7154 
-7,515 
-7,3146 
-7,1142 
-6,9138 
-6,7134 
-6,513 
-6,3126 
-6,1122 
-5,9118 
-5,7114 
-5,511 
-5,3106 
-5,1102 
-4,9098 
-4,7094 
-4,509 
-4,3086 
-4,1082 
-3,9078 
-3,7074 
-3,507 
-3,3066 
-3,1062 
-2,9058 
-2,7054 
-2,505 
-2,3046 
-2,1042 
-1,9038 
-1,7034 
-1,503 
-1,3026 
-1,1022 
-0,9018 
-0,7014 
-0,501 
-0,3006 
-0,1002 
0,1002 
0,3006 
0,501 
0,7014 
0,9018 
1,1022 
1,3026 
1,503 
1,7034 
1,9038 
2,1042 
2,3046 
2,505 
2,7054 
2,9058 
3,1062 
3,3066 
3,507 
3,7074 
3,9078 
4,1082 
4,3086 
4,509 
4,7094 
4,9098 
5,1102 
5,3106 
5,511 
5,7114 
5,9118 
6,1122 
6,3126 
6,513 
6,7134 
6,9138 
7,1142 
7,3146 
7,515 
7,7154 
7,9158 
8,1162 
8,3166 
8,517 
8,7174 
8,9178 
9,1182 
9,3186 
9,519 
9,7194 
9,9198 
10,12 
10,321 
10,521 
10,721 
10,922 
11,122 
11,323 
11,523 
11,723 
11,924 
12,124 
12,325 
12,525 
12,725 
12,926 
13,126 
13,327 
13,527 
13,727 
13,928 
14,128 
14,329 
14,529 
14,729 
14,93 
15,13 
15,331 
15,531 
15,731 
15,932 
16,132 
16,333 
16,533 
16,733 
16,934 
17,134 
17,335 
17,535 
17,735 
17,936 
18,136 
18,337 
18,537 
18,737 
18,938 
19,138 
19,339 
19,539 
19,739 
19,94 
20,14 
20,341 
20,541 
20,741 
20,942 
21,142 
21,343 
21,543 
21,743 
21,944 
22,144 
22,345 
22,545 
22,745 
22,946 
23,146 
23,347 
23,547 
23,747 
23,948 
24,148 
24,349 
24,549 
24,749 
24,95 
25,15 
25,351 
25,551 
25,752 
25,952 
26,152 
26,353 
26,553 
26,754 
26,954 
27,154 
27,355 
27,555 
27,756 
27,956 
28,156 
28,357 
28,557 
28,758 
28,958 
29,158 
29,359 
29,559 
29,76 
29,96 
30,16 
30,361 
30,561 
30,762 
30,962 
31,162 
31,363 
31,563 
31,764 
31,964 
32,164 
32,365 
32,565 
32,766 
32,966 
33,166 
33,367 
33,567 
33,768 
33,968 
34,168 
34,369 
34,569 
34,77 
34,97 
35,17 
35,371 
35,571 
35,772 
35,972 
36,172 
36,373 
36,573 
36,774 
36,974 
37,174 
37,375 
37,575 
37,776 
37,976 
38,176 
38,377 
38,577 
38,778 
38,978 
39,178 
39,379 
39,579 
39,78 
39,98 
40,18 
40,381 
40,581 
40,782 
40,982 
41,182 
41,383 
41,583 
41,784 
41,984 
42,184 
42,385 
42,585 
42,786 
42,986 
43,186 
43,387 
43,587 
43,788 
43,988 
44,188 
44,389 
44,589 
44,79 
44,99 
45,19 
45,391 
45,591 
45,792 
45,992 
46,192 
46,393 
46,593 
46,794 
46,994 
47,194 
47,395 
47,595 
47,796 
47,996 
48,196 
48,397 
48,597 
48,798 
48,998 
49,198 
49,399 
49,599 
49,8 
50 
